Player,Fairway Percentage,Year,gir,Average Putts,Average Scrambling,Average Score,Points,Rounds,Avg Distance
Ryan Armour,72.73,2017,69.96,29.88,58.31,70.965,222,63.0,278.8
Boo Weekley,71.67,2017,68.65,30.29,56.31,71.476,173,75.0,289.9
Brian Stuard,71.49,2017,63.59,28.92,57.99,71.72,285,93.0,272.3
Jim Furyk,70.75,2017,65.72,29.36,61.03,71.071,232,54.0,270.1
Chez Reavie,70.53,2017,66.91,28.64,63.28,70.244,666,98.0,284.8
William McGirt,70.06,2017,67.23,29.61,57.08,71.15100000000001,499,89.0,284.8
Francesco Molinari,69.8,2017,67.22,28.91,62.95,69.80199999999999,"1,010",75.0,291.9
Zac Blair,69.7,2017,64.7,28.87,65.5,71.007,364,105.0,272.7
Søren Kjeldsen,69.21,2017,62.02,29.0,51.64,71.39,283,58.0,273.6
Graeme McDowell,69.15,2017,62.55,28.2,58.52,70.62899999999999,331,56.0,279.0
Jim Herman,69.02,2017,68.07,29.77,56.15,70.931,553,77.0,292.5
Ken Duke,68.62,2017,63.69,29.38,56.47,72.078,98,77.0,274.2
Kyle Stanley,68.55,2017,70.39,29.63,58.35,69.98899999999999,"1,204",104.0,296.5
Vaughn Taylor,68.28,2017,66.67,29.0,60.52,71.044,369,90.0,282.4
Steve Wheatcroft,68.24,2017,60.99,28.51,63.64,71.577,138,51.0,280.5
Ben Crane,67.97,2017,65.68,29.13,59.02,71.09100000000001,281,86.0,278.5
Ryan Moore,67.9,2017,65.05,29.04,56.74,70.741,671,82.0,288.0
Spencer Levin,67.82,2017,65.56,29.38,61.1,71.516,201,89.0,279.0
Steven Alker,67.54,2017,65.17,29.14,59.75,71.638,121,69.0,276.9
Chad Campbell,67.21,2017,69.07,29.51,64.63,70.509,616,97.0,285.6
Alex Cejka,67.19,2017,66.45,29.51,61.08,71.461,276,85.0,282.1
Russell Knox,67.09,2017,66.58,29.35,57.46,70.765,669,75.0,288.0
Kevin Kisner,67.0,2017,66.43,28.79,62.5,70.294,"1,612",105.0,288.7
David Hearn,66.75,2017,64.71,29.07,61.85,71.107,359,93.0,281.0
Zach Johnson,66.54,2017,64.16,28.52,60.08,70.393,839,81.0,286.8
Keegan Bradley,66.23,2017,68.93,29.36,59.49,70.437,794,76.0,303.9
K.J. Choi,66.23,2017,63.05,28.97,60.36,71.618,143,72.0,282.2
Roberto Castro,66.2,2017,63.89,29.5,60.14,71.808,164,70.0,280.2
Kevin Streelman,66.01,2017,66.67,29.47,60.04,70.873,541,90.0,294.0
Richy Werenski,65.92,2017,67.42,29.31,60.6,71.171,423,81.0,291.2
D.A. Points,65.83,2017,66.83,29.56,55.67,71.315,435,68.0,278.1
Chris Stroud,65.7,2017,66.2,29.03,59.33,70.815,627,67.0,286.8
Tim Wilkinson,65.68,2017,63.98,28.67,62.77,70.95,233,64.0,279.5
Webb Simpson,65.51,2017,65.26,28.52,65.15,70.018,"1,058",102.0,286.2
Brian Gay,65.47,2017,63.53,28.32,62.3,70.585,426,82.0,278.7
Matt Kuchar,65.36,2017,66.6,28.7,65.78,69.806,"1,260",95.0,285.1
Lucas Glover,65.31,2017,70.08,29.52,60.13,70.139,706,93.0,298.1
Emiliano Grillo,65.29,2017,67.06,29.28,56.55,70.798,518,90.0,293.0
Kyle Reifers,65.15,2017,65.97,29.73,58.44,71.587,241,96.0,286.1
J.J. Spaun,65.11,2017,67.12,29.35,59.14,70.999,510,86.0,304.3
Rory Sabbatini,64.91,2017,67.35,29.34,58.38,70.883,375,71.0,291.6
Shane Lowry,64.86,2017,67.53,29.53,55.51,70.667,361,52.0,295.1
Martin Laird,64.82,2017,65.61,28.92,60.94,70.45,676,83.0,296.1
Rick Lamb,64.81,2017,66.89,29.44,54.03,71.97800000000001,269,54.0,298.0
Sam Saunders,64.69,2017,65.24,28.63,58.45,70.921,354,76.0,293.6
Brett Stegmaier,64.66,2017,66.74,29.97,50.11,72.115,131,78.0,288.7
John Huh,64.09,2017,65.78,29.0,63.65,70.851,382,92.0,287.1
Chris Kirk,63.93,2017,66.73,29.18,54.73,71.255,467,89.0,287.0
Scott Brown,63.89,2017,64.35,28.69,59.08,70.932,646,95.0,289.0
Graham DeLaet,63.68,2017,68.57,29.41,56.51,70.376,640,82.0,301.1
C.T. Pan,63.68,2017,67.53,29.74,60.29,71.109,527,88.0,287.1
Jason Bohn,63.67,2017,63.15,29.39,57.11,72.133,73,75.0,275.9
Ben Martin,63.67,2017,66.6,29.25,58.53,70.954,378,86.0,291.7
Miguel Angel Carballo,63.61,2017,64.91,29.6,54.72,72.363,81,63.0,288.1
Paul Casey,63.46,2017,69.96,29.02,64.52,69.469,"1,135",94.0,297.0
Hunter Mahan,63.4,2017,64.55,29.58,58.06,71.811,130,73.0,294.5
Julián Etulain,63.34,2017,66.75,29.13,58.62,71.33800000000001,220,68.0,293.5
Jason Dufner,63.3,2017,67.15,29.21,57.72,70.259,"1,126",89.0,294.5
Rickie Fowler,63.29,2017,66.98,28.32,62.85,69.083,"1,832",66.0,302.1
Johnson Wagner,63.18,2017,66.93,29.54,55.73,71.429,321,71.0,288.1
James Hahn,63.14,2017,66.09,29.36,60.58,70.925,711,96.0,293.9
Peter Malnati,63.1,2017,62.48,28.4,61.5,71.399,182,91.0,282.3
Adam Hadwin,62.85,2017,64.89,28.43,63.47,70.583,"1,347",98.0,290.7
Russell Henley,62.79,2017,67.32,28.99,57.22,70.027,"1,129",99.0,297.6
Danny Lee,62.72,2017,66.1,28.81,55.43,70.86,697,93.0,291.1
Daniel Summerhays,62.69,2017,63.02,28.97,56.76,71.197,348,100.0,286.9
Jonathan Randolph,62.67,2017,62.71,28.9,56.82,71.642,221,68.0,287.2
Geoff Ogilvy,62.59,2017,65.51,29.29,60.85,71.056,390,80.0,286.5
J.J. Henry,62.58,2017,69.44,30.42,56.66,71.164,365,92.0,294.1
Ian Poulter,62.55,2017,64.46,28.44,67.36,70.045,760,72.0,283.5
Brendan Steele,62.28,2017,67.29,29.4,60.51,70.503,"1,226",89.0,299.9
David Lingmerth,62.12,2017,62.83,28.15,58.53,70.755,437,79.0,289.8
Brian Harman,62.07,2017,63.19,28.3,62.74,70.402,"1,557",104.0,289.6
Brandt Snedeker,61.98,2017,66.06,28.5,64.06,70.055,663,53.0,280.8
Fabián Gómez,61.81,2017,64.69,29.15,58.67,71.61,168,61.0,285.1
Michael Thompson,61.72,2017,63.69,28.88,58.74,71.207,278,60.0,284.8
Nick Taylor,61.66,2017,66.14,29.38,61.83,70.817,532,97.0,291.6
Blayne Barber,61.62,2017,67.61,29.08,55.8,71.163,381,77.0,291.2
Patrick Cantlay,61.47,2017,69.21,29.19,60.15,69.971,578,72.0,302.1
Pat Perez,61.46,2017,66.04,28.66,63.38,70.25,"1,461",93.0,290.6
Sergio Garcia,61.08,2017,69.73,29.38,61.39,69.596,"1,085",65.0,300.9
Ryan Blaum,60.94,2017,65.28,28.82,60.0,70.866,434,100.0,284.1
Rod Pampling,60.83,2017,64.01,29.97,52.83,71.861,630,71.0,287.8
